row,business_name,category,module_name,city,state,zone,age_restricted,module_id,category_ids
36,"Holistic Wellness Center HTX","Pharmacy / Health",Pharmacy/Health,Houston,TX,"Greater Houston Area",no,10,[]
37,"Kingdom Kutz & Styles","Beauty Supply / Hair Providerz","Beauty Supply/Hair Providers",Houston,TX,"Greater Houston Area",no,16,[]
38,"Motherland African Food Market","Grocery / Markets",Grocery/Markets,Houston,TX,"Greater Houston Area",no,5,[]
40,"Fresh Houwse Grocery","Grocery / Markets",Grocery/Markets,Houston,TX,"Greater Houston Area",no,5,[]
41,"Nia's Southern Kitchen","Home-Based Businessz","Home-Based Businesses",Houston,TX,"Greater Houston Area",no,6,[]
42,"Swift Deliveries HTX","Courier / Parcel","Courier/Parcel Delivery",Houston,TX,"Greater Houston Area",no,9,[]
43,"Flavor Fusions HTX","Home-Based Businessz","Home-Based Businesses",Houston,TX,"Greater Houston Area",no,6,[]
44,"The Black Market HTX","Local Events / Creators","Local Events/Creators",Houston,TX,"Greater Houston Area",no,11,[]
45,"Luxe Event Planning HTX","Local Events / Creators","Local Events/Creators",Houston,TX,"Greater Houston Area",no,11,[]
46,"Island Spice HTX","Home-Based Businessz","Home-Based Businesses",Houston,TX,"Greater Houston Area",no,6,[]
47,"Cococakes HTX","Home-Based Businessz","Home-Based Businesses",Houston,TX,"Greater Houston Area",no,6,[]
48,"Uforia Events HTX","Local Events / Creators","Local Events/Creators",Houston,TX,"Greater Houston Area",no,11,[]
51,"Crepe Cafe HTX","Home-Based Businessz","Home-Based Businesses",Houston,TX,"Greater Houston Area",no,6,[]
52,"Taqueria El Vecino","Local Events / Creators","Local Events/Creators",Houston,TX,"Greater Houston Area",no,11,[]
53,"Taste of Trinidad HTX","Home-Based Businessz","Home-Based Businesses",Houston,TX,"Greater Houston Area",no,6,[]
54,"The Waffle Bar HTX","Home-Based Businessz","Home-Based Businesses",Houston,TX,"Greater Houston Area",no,6,[]
55,"Boba Bae HTX","Home-Based Businessz","Home-Based Businesses",Houston,TX,"Greater Houston Area",no,6,[]
56,"Smoke & Spice HTX","Home-Based Businessz","Home-Based Businesses",Houston,TX,"Greater Houston Area",no,6,[]
58,"District Market Green Grocer","Grocery / Markets",Grocery/Markets,Houston,TX,"Greater Houston Area",no,5,[]
60,"Neal & Nettie's Grocery","Grocery / Markets",Grocery/Markets,Houston,TX,"Greater Houston Area",no,5,[]
61,"Atonsu Royal African & Caribbean Market","Grocery / Markets",Grocery/Markets,Houston,TX,"Greater Houston Area",no,5,[]
62,"Black Farmer Box","Grocery / Markets",Grocery/Markets,Houston,TX,"Greater Houston Area",no,5,[25]
63,"Heritage Bodega","Grocery / Markets",Grocery/Markets,Houston,TX,"Greater Houston Area",no,5,[]
64,"Urban Pantry Co.","Grocery / Markets",Grocery/Markets,Houston,TX,"Greater Houston Area",no,5,[]
65,"Good Health Market HTX","Grocery / Markets",Grocery/Markets,Houston,TX,"Greater Houston Area",no,5,[]
66,"Veggie Vibe HTX","Grocery / Markets",Grocery/Markets,Houston,TX,"Greater Houston Area",no,5,[]
67,"Abandoned Nation","Retail / Shopping",Retail/Shopping,Houston,TX,"Greater Houston Area",no,13,[85]
68,Kwenu,"Retail / Shopping",Retail/Shopping,Houston,TX,"Greater Houston Area",no,13,[]
69,"The Minka Collection","Retail / Shopping",Retail/Shopping,Houston,TX,"Greater Houston Area",no,13,[]
70,"First Impression Custom Clothes","Retail / Shopping",Retail/Shopping,Houston,TX,"Greater Houston Area",no,13,[]
71,"Di'Vine Boutique","Retail / Shopping",Retail/Shopping,Houston,TX,"Greater Houston Area",no,13,[85]
72,"Maison de Joie","Retail / Shopping",Retail/Shopping,Houston,TX,"Greater Houston Area",no,13,[89]
73,"KickSpott HTX","Retail / Shopping",Retail/Shopping,Houston,TX,"Greater Houston Area",no,13,[95]
74,"Retro Rose HTX","Retail / Shopping",Retail/Shopping,Houston,TX,"Greater Houston Area",no,13,[]
75,"Groomed HTX","Retail / Shopping",Retail/Shopping,Houston,TX,"Greater Houston Area",no,13,[]
76,"Blessed Beauty Supply & Salon","Beauty Supply / Hair Providerz","Beauty Supply/Hair Providers",Houston,TX,"Greater Houston Area",no,16,[]
77,"Anan Beauty Supply","Beauty Supply / Hair Providerz","Beauty Supply/Hair Providers",Houston,TX,"Greater Houston Area",no,16,[]
78,"Uptown Beauty Supply #15","Beauty Supply / Hair Providerz","Beauty Supply/Hair Providers",Houston,TX,"Greater Houston Area",no,16,[]
79,"Beauty Sense LLC","Beauty Supply / Hair Providerz","Beauty Supply/Hair Providers",Houston,TX,"Greater Houston Area",no,16,[]
80,"C&R Beauty Supply","Beauty Supply / Hair Providerz","Beauty Supply/Hair Providers",Houston,TX,"Greater Houston Area",no,16,[]
81,"Royal Hair Weave Boutique","Beauty Supply / Hair Providerz","Beauty Supply/Hair Providers",Houston,TX,"Greater Houston Area",no,16,[]
82,"Classic Crown Supplies","Beauty Supply / Hair Providerz","Beauty Supply/Hair Providers",Houston,TX,"Greater Houston Area",no,16,[]
83,"Zuriel Pharmacy","Pharmacy / Health",Pharmacy/Health,Houston,TX,"Greater Houston Area",no,10,[]
84,"Nature Green Leaf Pharmacy","Pharmacy / Health",Pharmacy/Health,Houston,TX,"Greater Houston Area",no,10,[]
85,"Healthy Life Pharmacy","Pharmacy / Health",Pharmacy/Health,Houston,TX,"Greater Houston Area",no,10,[]
86,"PowerRX Pharmacy","Pharmacy / Health",Pharmacy/Health,Houston,TX,"Greater Houston Area",no,10,[]
87,"Wellness Point HTX","Pharmacy / Health",Pharmacy/Health,Houston,TX,"Greater Houston Area",no,10,[]
88,"Central Apothecary HTX","Pharmacy / Health",Pharmacy/Health,Houston,TX,"Greater Houston Area",no,10,[]
89,"Lady Teez Medical Courier","Courier / Parcel","Courier/Parcel Delivery",Houston,TX,"Greater Houston Area",no,9,[]
90,"Silver Streak Couriers","Courier / Parcel","Courier/Parcel Delivery",Houston,TX,"Greater Houston Area",no,9,[]
91,"Journee Courier HTX","Courier / Parcel","Courier/Parcel Delivery",Houston,TX,"Greater Houston Area",no,9,[]
92,"Meratrans Courier & Dispatch","Courier / Parcel","Courier/Parcel Delivery",Houston,TX,"Greater Houston Area",no,9,[]
93,"AREA Express","Courier / Parcel","Courier/Parcel Delivery",Houston,TX,"Greater Houston Area",no,9,[]
94,"Maylee Delivery HTX","Courier / Parcel","Courier/Parcel Delivery",Houston,TX,"Greater Houston Area",no,9,[]
95,"By Taylor Brione Events","Local Events / Creators","Local Events/Creators",Houston,TX,"Greater Houston Area",no,11,[]
96,"Events By Tab / Soirée Event Venues","Local Events / Creators","Local Events/Creators",Houston,TX,"Greater Houston Area",no,11,[]
97,"A to Z Events HTX","Local Events / Creators","Local Events/Creators",Houston,TX,"Greater Houston Area",no,11,[]
98,"Doyin Fash Events","Local Events / Creators","Local Events/Creators",Houston,TX,"Greater Houston Area",no,11,[]
99,"ABIBI Bridal","Local Events / Creators","Local Events/Creators",Houston,TX,"Greater Houston Area",no,11,[]
100,"Vivid Glam Artistry","Local Events / Creators","Local Events/Creators",Houston,TX,"Greater Houston Area",no,11,[]
101,"Social Tea HTX","Local Events / Creators","Local Events/Creators",Houston,TX,"Greater Houston Area",no,11,[130]
102,"Creative Pop-up Collective HTX","Local Events / Creators","Local Events/Creators",Houston,TX,"Greater Houston Area",no,11,[]
103,"Arnita's Kandi Kakes","Home-Based Businessz","Home-Based Businesses",Houston,TX,"Greater Houston Area",no,6,[]
104,"Chic Sweets Bakery","Home-Based Businessz","Home-Based Businesses",Houston,TX,"Greater Houston Area",no,6,[]
105,"Gateaux d'Ije Bakery","Home-Based Businessz","Home-Based Businesses",Houston,TX,"Greater Houston Area",no,6,[]
106,"Catering by FDL","Home-Based Businessz","Home-Based Businesses",Houston,TX,"Greater Houston Area",no,6,[]
107,"Lunch Bunch HTX","Home-Based Businessz","Home-Based Businesses",Houston,TX,"Greater Houston Area",no,6,[]
108,"Sweet Art Bakery","Home-Based Businessz","Home-Based Businesses",Houston,TX,"Greater Houston Area",no,6,[]
109,"Crafted by Koi","Home-Based Businessz","Home-Based Businesses",Houston,TX,"Greater Houston Area",no,6,[]
110,"Rooted Floral HTX","Home-Based Businessz","Home-Based Businesses",Houston,TX,"Greater Houston Area",no,6,[]
111,"Mr. Guillory's Master Barber Shop","Beauty / Personal Care","Beauty/Personal Care",Houston,TX,"Greater Houston Area",no,14,[]
112,"Sarem's Barber & Beauty Ethiopian Salon","Beauty / Personal Care","Beauty/Personal Care",Houston,TX,"Greater Houston Area",no,14,[]
113,"Brashae's Beauty Salon & Supply","Beauty / Personal Care","Beauty/Personal Care",Houston,TX,"Greater Houston Area",no,14,[]
114,"Divine Beauty Studio","Beauty / Personal Care","Beauty/Personal Care",Houston,TX,"Greater Houston Area",no,14,[]
115,"The Nail Lounge HTX","Beauty / Personal Care","Beauty/Personal Care",Houston,TX,"Greater Houston Area",no,14,[]
116,"Glow Skincare Studio","Beauty / Personal Care","Beauty/Personal Care",Houston,TX,"Greater Houston Area",no,14,[]
117,"Radiance Med Spa","Beauty / Personal Care","Beauty/Personal Care",Houston,TX,"Greater Houston Area",no,14,[]
119,"Damian's Cajun Soul Cafe",Restaurants,"Restaurants/Brick and Mortar",Dallas,TX,"Greater Dallas Area",no,4,[]
120,"TLC Vegan Kitchen",Restaurants,"Restaurants/Brick and Mortar",Dallas,TX,"Greater Dallas Area",no,4,[]
121,"Catfish Floyd's",Restaurants,"Restaurants/Brick and Mortar",Dallas,TX,"Greater Dallas Area",no,4,[]
122,"Roots Southern Table",Restaurants,"Restaurants/Brick and Mortar",Dallas,TX,"Greater Dallas Area",no,4,[]
123,"Brunch Society DAL","Local Events / Creators","Local Events/Creators",Dallas,TX,"Greater Dallas Area",no,11,[]
124,"Kitchen + Kocktails",Restaurants,"Restaurants/Brick and Mortar",Dallas,TX,"Greater Dallas Area",no,4,[]
125,"Sankofa Kitchen",Restaurants,"Restaurants/Brick and Mortar",Dallas,TX,"Greater Dallas Area",no,4,[]
126,"Pangea Restaurant",Restaurants,"Restaurants/Brick and Mortar",Dallas,TX,"Greater Dallas Area",no,4,[]
127,"The Breakfast Brothers",Restaurants,"Restaurants/Brick and Mortar",Dallas,TX,"Greater Dallas Area",no,4,[]
128,"Lil Boy Blue BBQ","Food Trucks","Food Trucks",Dallas,TX,"Greater Dallas Area",no,12,"[13,50]"
129,"Shells & Tails 2 Geaux","Food Trucks","Food Trucks",Dallas,TX,"Greater Dallas Area",no,12,[51]
130,"Vegan Vibrationz","Food Trucks","Food Trucks",Dallas,TX,"Greater Dallas Area",no,12,[]
131,"Cake Bar Dallas","Grocery / Markets",Grocery/Markets,Dallas,TX,"Greater Dallas Area",no,5,[]
132,"Tre Stelle Coffee Co.","Grocery / Markets",Grocery/Markets,Dallas,TX,"Greater Dallas Area",no,5,[]
133,"Flavors Wings N Daiquiris",Restaurants,"Restaurants/Brick and Mortar",Dallas,TX,"Greater Dallas Area",no,4,[]
134,"The Daiquiri Shoppe",Restaurants,"Restaurants/Brick and Mortar",Dallas,TX,"Greater Dallas Area",no,4,[]
135,"Reggae Jerk Hut",Restaurants,"Restaurants/Brick and Mortar",Dallas,TX,"Greater Dallas Area",no,4,[]
136,"Winsome Prime",Restaurants,"Restaurants/Brick and Mortar",Dallas,TX,"Greater Dallas Area",no,4,[]
137,"Big Moe's Custom Catering","Home-Based Businessz","Home-Based Businesses",Dallas,TX,"Greater Dallas Area",no,6,[]
138,"Brown Bag Gourmet Coffees","Grocery / Markets",Grocery/Markets,Dallas,TX,"Greater Dallas Area",no,5,[]
139,"Sacred Heart Co.","Retail / Shopping",Retail/Shopping,Dallas,TX,"Greater Dallas Area",no,13,[]
140,"Manifest Your Purpose","Retail / Shopping",Retail/Shopping,Dallas,TX,"Greater Dallas Area",no,13,[]
141,"Gossip Shack",Restaurants,"Restaurants/Brick and Mortar",Austin,TX,"Greater Austin Area",no,4,[]
142,"Watts-That Soul Food",Restaurants,"Restaurants/Brick and Mortar",Austin,TX,"Greater Austin Area",no,4,[]
143,"Whip My Soul",Restaurants,"Restaurants/Brick and Mortar",Austin,TX,"Greater Austin Area",no,4,[]
144,"Hoover's Cooking",Restaurants,"Restaurants/Brick and Mortar",Austin,TX,"Greater Austin Area",no,4,[]
145,"Big Easy Bar & Grill",Restaurants,"Restaurants/Brick and Mortar",Austin,TX,"Greater Austin Area",no,4,[]
147,"Rolling Rooster","Food Trucks","Food Trucks",Austin,TX,"Greater Austin Area",no,12,[52]
148,"Les Bobos Crepes","Food Trucks","Food Trucks",Austin,TX,"Greater Austin Area",no,12,[]
149,"Clean Juice Round Rock","Grocery / Markets",Grocery/Markets,Austin,TX,"Greater Austin Area",no,5,[]
150,"Dia's Market","Grocery / Markets",Grocery/Markets,Austin,TX,"Greater Austin Area",no,5,[]
151,"Gigi's Cupcakes Austin","Grocery / Markets",Grocery/Markets,Austin,TX,"Greater Austin Area",no,5,[]
152,"Kreyol Korner Caribbean Cuisine","Food Trucks","Food Trucks",Austin,TX,"Greater Austin Area",no,12,[55]
153,"Brown's Bar-B-Que",Restaurants,"Restaurants/Brick and Mortar",Austin,TX,"Greater Austin Area",no,4,[14]
154,"Tony's Jamaican Food",Restaurants,"Restaurants/Brick and Mortar",Austin,TX,"Greater Austin Area",no,4,[]
155,"LUX Boards ATX","Home-Based Businessz","Home-Based Businesses",Austin,TX,"Greater Austin Area",no,6,[]
156,"Playhouse Moving","Courier / Parcel","Courier/Parcel Delivery",Austin,TX,"Greater Austin Area",no,9,[]
157,"R&B's Steak and Fries",Restaurants,"Restaurants/Brick and Mortar",Austin,TX,"Greater Austin Area",no,4,[]
158,"Sassy's Vegetarian Soul Food",Restaurants,"Restaurants/Brick and Mortar",Austin,TX,"Greater Austin Area",no,4,[]
159,"Cranky Granny's Sweet Rolls","Grocery / Markets",Grocery/Markets,Austin,TX,"Greater Austin Area",no,5,[]
160,"3 Small Plates Catering","Home-Based Businessz","Home-Based Businesses",Austin,TX,"Greater Austin Area",no,6,[]
161,"Black Butterfly Bath & Body","Retail / Shopping",Retail/Shopping,Austin,TX,"Greater Austin Area",no,13,[]
162,"Tava Lifestyle and Wellness","Pharmacy / Health",Pharmacy/Health,Austin,TX,"Greater Austin Area",no,10,[]
163,"Jamaican Spyci Flavaz",Restaurants,"Restaurants/Brick and Mortar",Huntsville,TX,"Greater Huntsville Area",no,4,[]
164,"Kings Soul Seasoning","Grocery / Markets",Grocery/Markets,Huntsville,TX,"Greater Huntsville Area",no,5,[]
165,"Big Johns BBQ",Restaurants,"Restaurants/Brick and Mortar",Huntsville,TX,"Greater Huntsville Area",no,4,[14]
166,"Huntsville Nutrition Center","Pharmacy / Health",Pharmacy/Health,Huntsville,TX,"Greater Huntsville Area",no,10,[]
167,"Touch of Class Boutique","Retail / Shopping",Retail/Shopping,Huntsville,TX,"Greater Huntsville Area",no,13,[]
168,"KC's Food Truck","Food Trucks","Food Trucks",Huntsville,TX,"Greater Huntsville Area",no,12,[]
169,"Smooth Moves Courier","Courier / Parcel","Courier/Parcel Delivery",Huntsville,TX,"Greater Huntsville Area",no,9,[]
170,"Walker County Event Collective","Local Events / Creators","Local Events/Creators",Huntsville,TX,"Greater Huntsville Area",no,11,[]
171,"Sweet Creations Bakery","Home-Based Businessz","Home-Based Businesses",Huntsville,TX,"Greater Huntsville Area",no,6,[]
172,"Precision Cuts Barbershop","Beauty / Personal Care","Beauty/Personal Care",Huntsville,TX,"Greater Huntsville Area",no,14,[]
173,"1918 Catering","Home-Based Businessz","Home-Based Businesses",Birmingham,AL,"Greater Birmingham Area",no,6,[]
174,"Alamerica Bank","Pharmacy / Health",Pharmacy/Health,Birmingham,AL,"Greater Birmingham Area",no,10,[]
175,"Eagle's Restaurant",Restaurants,"Restaurants/Brick and Mortar",Birmingham,AL,"Greater Birmingham Area",no,4,[]
176,"Saw's Soul Kitchen",Restaurants,"Restaurants/Brick and Mortar",Birmingham,AL,"Greater Birmingham Area",no,4,[14]
177,"Bistro 218",Restaurants,"Restaurants/Brick and Mortar",Birmingham,AL,"Greater Birmingham Area",no,4,[]
178,"Mudtown Restaurant",Restaurants,"Restaurants/Brick and Mortar",Birmingham,AL,"Greater Birmingham Area",no,4,[]
179,"Johnny's Shrimp Boat","Food Trucks","Food Trucks",Birmingham,AL,"Greater Birmingham Area",no,12,[51]
180,"The Vegan Lady","Food Trucks","Food Trucks",Birmingham,AL,"Greater Birmingham Area",no,12,[]
181,"Piggly Wiggly Alabama","Grocery / Markets",Grocery/Markets,Birmingham,AL,"Greater Birmingham Area",no,5,[]
182,"Naturally Yours Market","Grocery / Markets",Grocery/Markets,Birmingham,AL,"Greater Birmingham Area",no,5,[]
183,"Feet on the Street Courier","Courier / Parcel","Courier/Parcel Delivery",Birmingham,AL,"Greater Birmingham Area",no,9,[]
184,"BJCC Event Services","Local Events / Creators","Local Events/Creators",Birmingham,AL,"Greater Birmingham Area",no,11,[]
185,"Ava's Custom Cakes","Home-Based Businessz","Home-Based Businesses",Birmingham,AL,"Greater Birmingham Area",no,6,[]
186,"404 Coffee",Restaurants,"Restaurants/Brick and Mortar",Atlanta,GA,"Greater Atlanta Area",no,4,[]
187,"Rivet Boy's Clothing & Accessories","Retail / Shopping",Retail/Shopping,Atlanta,GA,"Greater Atlanta Area",no,13,[85]
188,"Paschal's Restaurant",Restaurants,"Restaurants/Brick and Mortar",Atlanta,GA,"Greater Atlanta Area",no,4,[]
189,"Busy Bee Cafe",Restaurants,"Restaurants/Brick and Mortar",Atlanta,GA,"Greater Atlanta Area",no,4,[]
190,"Mary Mac's Tea Room",Restaurants,"Restaurants/Brick and Mortar",Atlanta,GA,"Greater Atlanta Area",no,4,[]
191,"Gladys Knight's Chicken & Waffles",Restaurants,"Restaurants/Brick and Mortar",Atlanta,GA,"Greater Atlanta Area",no,4,[]
192,"Mary's Bar-B-Que",Restaurants,"Restaurants/Brick and Mortar",Atlanta,GA,"Greater Atlanta Area",no,4,[14]
193,"The Comfort Kitchen ATL","Food Trucks","Food Trucks",Atlanta,GA,"Greater Atlanta Area",no,12,[]
194,"Da Vegan Guru","Food Trucks","Food Trucks",Atlanta,GA,"Greater Atlanta Area",no,12,[]
195,"Sevananda Natural Foods Market","Grocery / Markets",Grocery/Markets,Atlanta,GA,"Greater Atlanta Area",no,5,[]
196,"Your Dekalb Farmers Market","Grocery / Markets",Grocery/Markets,Atlanta,GA,"Greater Atlanta Area",no,5,[]
197,"Harold's Beauty Supply","Beauty Supply / Hair Providerz","Beauty Supply/Hair Providers",Atlanta,GA,"Greater Atlanta Area",no,16,[]
198,"Morris Pharmacy","Pharmacy / Health",Pharmacy/Health,Atlanta,GA,"Greater Atlanta Area",no,10,[]
199,"City Express Courier","Courier / Parcel","Courier/Parcel Delivery",Atlanta,GA,"Greater Atlanta Area",no,9,[]
200,"Sweets by Shanika","Home-Based Businessz","Home-Based Businesses",Atlanta,GA,"Greater Atlanta Area",no,6,[]
201,"5 Minds Studios","Beauty / Personal Care","Beauty/Personal Care",Atlanta,GA,"Greater Atlanta Area",no,14,[]
202,"Nourish Beauty Bar","Beauty / Personal Care","Beauty/Personal Care",Atlanta,GA,"Greater Atlanta Area",no,14,[]
203,"Heritage ATL Event Space","Local Events / Creators","Local Events/Creators",Atlanta,GA,"Greater Atlanta Area",no,11,[]
204,"Fast Lane Courier ATL","Courier / Parcel","Courier/Parcel Delivery",Atlanta,GA,"Greater Atlanta Area",no,9,[]
205,"Slim & Husky's Pizza",Restaurants,"Restaurants/Brick and Mortar",Memphis,TN,"Memphis Area",no,4,[]
207,"Four Way Restaurant",Restaurants,"Restaurants/Brick and Mortar",Memphis,TN,"Memphis Area",no,4,[]
208,"The Gray Canary",Restaurants,"Restaurants/Brick and Mortar",Memphis,TN,"Memphis Area",no,4,[]
209,"Memphis BBQ Co.","Food Trucks","Food Trucks",Memphis,TN,"Memphis Area",no,12,"[13,50]"
210,"Earnestine & Hazel's",Restaurants,"Restaurants/Brick and Mortar",Memphis,TN,"Memphis Area",no,4,[]
211,"Cash Saver Grocery","Grocery / Markets",Grocery/Markets,Memphis,TN,"Memphis Area",no,5,[]
212,"Crown Beauty Supply","Beauty Supply / Hair Providerz","Beauty Supply/Hair Providers",Memphis,TN,"Memphis Area",no,16,[]
213,"Shelby Pharmacy","Pharmacy / Health",Pharmacy/Health,Memphis,TN,"Memphis Area",no,10,[]
214,"Bluff City Courier","Courier / Parcel","Courier/Parcel Delivery",Memphis,TN,"Memphis Area",no,9,[]
215,"Memphis Made Event Space","Local Events / Creators","Local Events/Creators",Memphis,TN,"Memphis Area",no,11,[]
216,"Sweet La La's Bakery","Home-Based Businessz","Home-Based Businesses",Memphis,TN,"Memphis Area",no,6,[]
217,"House of Scent","Retail / Shopping",Retail/Shopping,Memphis,TN,"Memphis Area",no,13,[]
218,"Fresh Barber Co.","Beauty / Personal Care","Beauty/Personal Care",Memphis,TN,"Memphis Area",no,14,[]
219,"Natasha's Nail Studio","Beauty / Personal Care","Beauty/Personal Care",Memphis,TN,"Memphis Area",no,14,[]
220,"Rise & Shine Courier","Courier / Parcel","Courier/Parcel Delivery",Memphis,TN,"Memphis Area",no,9,[]
221,"Leon's Finest BBQ",Restaurants,"Restaurants/Brick and Mortar",Brazoria,TX,"Brazoria, Matagorda, Galveston, Wharton, Jefferson County Areas",no,4,[14]
222,"Shirley's Soul Food Kitchen",Restaurants,"Restaurants/Brick and Mortar","Lake Jackson",TX,"Brazoria, Matagorda, Galveston, Wharton, Jefferson County Areas",no,4,[]
223,"Clute Cafeteria",Restaurants,"Restaurants/Brick and Mortar",Freeport,TX,"Brazoria, Matagorda, Galveston, Wharton, Jefferson County Areas",no,4,[]
224,"Freeport Soul Shack","Food Trucks","Food Trucks",Brazoria,TX,"Brazoria, Matagorda, Galveston, Wharton, Jefferson County Areas",no,12,[58]
225,"Brazoria Fresh Market","Grocery / Markets",Grocery/Markets,Beaumont,TX,"Brazoria, Matagorda, Galveston, Wharton, Jefferson County Areas",no,5,[]
226,"Victoria's Seaside Bistro",Restaurants,"Restaurants/Brick and Mortar",Beaumont,TX,"Brazoria, Matagorda, Galveston, Wharton, Jefferson County Areas",no,4,[]
227,"NIA Cultural Center Events","Local Events / Creators","Local Events/Creators",Galveston,TX,"Brazoria, Matagorda, Galveston, Wharton, Jefferson County Areas",no,11,[]
230,"Wharton County Catering","Home-Based Businessz","Home-Based Businesses","Texas City",TX,"Brazoria, Matagorda, Galveston, Wharton, Jefferson County Areas",no,6,[]
232,"Patillo's BBQ",Restaurants,"Restaurants/Brick and Mortar","Texas City",TX,"Brazoria, Matagorda, Galveston, Wharton, Jefferson County Areas",no,4,[14]
233,"Suga's Deep South Cuisine & Jazz Bar",Restaurants,"Restaurants/Brick and Mortar",Beaumont,TX,"Brazoria, Matagorda, Galveston, Wharton, Jefferson County Areas",no,4,[]
234,"Yorey's Urban Eats",Restaurants,"Restaurants/Brick and Mortar",Wharton,TX,"Brazoria, Matagorda, Galveston, Wharton, Jefferson County Areas",no,4,[]
235,"Bocca Felice Italian Grill",Restaurants,"Restaurants/Brick and Mortar","Bay City",TX,"Brazoria, Matagorda, Galveston, Wharton, Jefferson County Areas",no,4,[]
236,"Rosie's Soul Food",Restaurants,"Restaurants/Brick and Mortar","Lake Jackson",TX,"Brazoria, Matagorda, Galveston, Wharton, Jefferson County Areas",no,4,[]
237,"The Grill At 105",Restaurants,"Restaurants/Brick and Mortar",Brazoria,TX,"Brazoria, Matagorda, Galveston, Wharton, Jefferson County Areas",no,4,[]
239,"Monk House Seafood",Restaurants,"Restaurants/Brick and Mortar",Wharton,TX,"Brazoria, Matagorda, Galveston, Wharton, Jefferson County Areas",no,4,[]
240,"Healthy Foods Market","Grocery / Markets",Grocery/Markets,"Texas City",TX,"Brazoria, Matagorda, Galveston, Wharton, Jefferson County Areas",no,5,[]
