migration,action,evidence
2022_10_18_092639_create_refunds_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table refunds"
2022_10_18_093323_add_refund_request_cancel_column_to_orders_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: orders.refund_request_canceled"
2022_10_18_093529_create_refund_reasons_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table refund_reasons"
2022_10_19_150319_add_delivery_column_to_parcel_categories_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: parcel_categories.parcel_per_km_shipping_charge, parcel_categories.parcel_minimum_shipping_charge"
2022_10_19_165501_add_default_link_column_to_banners_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: banners.default_link"
2022_10_20_105050_module_zone,RECORDED-NOT-EXECUTED,"every intended effect verified present: table module_zone"
2022_10_22_115553_add_is_logged_column_to_admins_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: admins.is_logged_in"
2022_10_22_122336_add_is_logged_column_to_vendor_employees_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: vendor_employees.is_logged_in"
2022_10_25_153214_add_payment_method_columns_to_zones_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: zones.cash_on_delivery, zones.digital_payment"
2022_10_31_165427_add_rename_delivery_charge_column_to_stores_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: stores.per_km_shipping_charge"
2022_11_05_094404_add_delivery_fee_comission_to_order_transactions_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: order_transactions.delivery_fee_comission"
2022_11_13_130054_create_contacts_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table contacts"
2022_11_15_111925_create_expenses_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table expenses"
2022_11_15_112413_add_expense_column_to_order_transactions_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: order_transactions.admin_expense"
2022_12_20_104455_add_food_variations_column_to_items_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: items.food_variations"
2022_12_21_154227_alter_table_order_details_change_variation,RECORDED-NOT-EXECUTED,"every intended effect verified present: order_details.variation"
2022_12_29_103803_add_order_id_column_to_expenses_table,RECORDED-NOT-EXECUTED,"RESOLVED: renameColumn(description -> order_id). expenses.order_id ALREADY EXISTS, and a separate expenses.description also exists. Re-running would rename the current description column onto the existing order_id and collide. Effect is present."
2022_12_29_105321_add_maximum_cod_order_amount_column_to_module_zone_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: module_zone.maximum_cod_order_amount"
2022_12_29_114005_add_prescription_order_column_to_orders_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: orders.prescription_order"
2022_12_31_111437_create_notification_messages_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table notification_messages"
2023_01_02_112948_create_tags_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table tags"
2023_01_02_113235_item_tag,RECORDED-NOT-EXECUTED,"every intended effect verified present: table item_tag"
2023_01_03_093510_add_current_language_key_column_to_users_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: users.current_language_key"
2023_01_07_115354_add_prescription_order_to_stores_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: stores.prescription_order"
2023_01_07_180000_add_description_to_expenses_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: expenses.description, expenses.order_id"
2023_01_10_124723_add_food_variations_column_to_item_campaigns_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: item_campaigns.food_variations"
2023_01_10_145928_change_refund_amount_column_type,RECORDED-NOT-EXECUTED,"every intended effect verified present: refunds.refund_amount"
2023_01_10_150108_change_amount_column_type,RECORDED-NOT-EXECUTED,"every intended effect verified present: withdraw_requests.amount"
2023_01_23_103943_add_slug_to_items_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: items.slug"
2023_01_23_144001_add_slug_to_categories_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: categories.slug"
2023_01_23_144119_add_slug_to_item_campaigns_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: item_campaigns.slug"
2023_01_23_144232_add_slug_to_stores_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: stores.slug"
2023_01_23_144828_add_tax_status_column_to_orders_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: orders.tax_status"
2023_01_30_114113_change_delivery_charge_column_type_to_admin_wallets_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: admin_wallets.delivery_charge"
2023_02_19_164536_create_visitor_logs_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table visitor_logs"
2023_02_25_133200_create_d_m_vehicles_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table d_m_vehicles"
2023_02_25_133302_add_vehicle_id_column_to_delivery_men_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: delivery_men.vehicle_id"
2023_02_25_133409_add_vehicle_id_column_to_orders_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: orders.dm_vehicle_id"
2023_02_25_163329_add_maximum_delivery_charge_column_to_module_zone_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: module_zone.maximum_shipping_charge"
2023_02_25_175825_add_otp_hit_count_cols_in_phone_verifications_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: phone_verifications.otp_hit_count, phone_verifications.is_blocked, phone_verifications.is_temp_blocked"
2023_02_25_175912_add_hit_count_at_col_in_password_resets_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: password_resets.otp_hit_count, password_resets.is_blocked, password_resets.is_temp_blocked"
2023_02_26_144503_add_campaign_status_to_campaign_store_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: campaign_store.campaign_status"
2023_02_26_162224_add_recommened_to_items_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: items.recommended"
2023_02_27_102931_add_ref_by_col_to_users_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: users.ref_by"
2023_02_27_111635_create_order_cancel_reasons_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table order_cancel_reasons"
2023_02_27_111937_add_cancellation_reason_col_to_orders_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: orders.cancellation_reason, orders.canceled_by"
2023_02_27_161418_add_created_by_columns_to_coupons_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: coupons.created_by, coupons.customer_id, coupons.slug, coupons.store_id"
2023_02_27_161533_add_created_by_columns_to_expenses_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: expenses.created_by, expenses.store_id"
2023_02_27_162252_add_store_expense_columns_to_order_transactions_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: order_transactions.store_expense"
2023_02_27_162357_add_coupon_created_by_columns_to_orders_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: orders.coupon_created_by"
2023_03_01_154319_add_maximum_delivery_charge_column_to_stores_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: stores.maximum_shipping_charge"
2023_03_02_103114_add_discount_on_product_by_column_to_orders_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: orders.discount_on_product_by"
2023_03_02_143919_change_amount_column_to_expenses_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: expenses.amount, expenses.delivery_man_id"
2023_03_02_144258_add_discount_amount_by_store_col_to_order_transactions_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: order_transactions.discount_amount_by_store"
2023_03_11_120645_add_temp_block_time_col_to_phone_verifications_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: phone_verifications.temp_block_time"
2023_03_11_121000_add_temp_block_time_col_to_password_resets_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: password_resets.temp_block_time"
2023_03_13_181502_add_temp_token_column_to_users_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: users.temp_token, users.phone, users.password"
2023_04_05_112916_add_created_by_col_to_password_resets_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: password_resets.created_by"
2023_05_04_100012_create_data_settings_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table data_settings"
2023_05_04_100930_create_admin_promotional_banners_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table admin_promotional_banners"
2023_05_04_101825_create_admin_features_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table admin_features"
2023_05_04_102015_create_admin_special_criterias_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table admin_special_criterias"
2023_05_07_152523_create_admin_testimonials_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table admin_testimonials"
2023_05_07_173609_create_flutter_special_criterias_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table flutter_special_criterias"
2023_05_08_125811_create_react_testimonials_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table react_testimonials"
2023_05_09_170006_create_email_templates_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table email_templates"
2023_05_14_104308_create_react_promotional_banners_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table react_promotional_banners"
2023_05_16_104129_add_cutlery_processing_time_unavailable_product_note_col_to_orders_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: orders.processing_time, orders.unavailable_item_note, orders.cutlery"
2023_05_18_093438_add_featured_col_to_categories_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: categories.featured"
2023_05_18_143530_add_delivery_instruction_col_to_orders_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: orders.delivery_instruction"
2023_05_18_163841_add_organic_col_to_items_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: items.organic"
2023_05_28_153920_add_tax_percentage_col_to_orders_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: orders.tax_percentage"
2023_06_11_172741_add_cutlery_col_to_stores_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: stores.cutlery"
2023_07_05_104537_add_maximum_cart_quantity_col_to_items_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: items.maximum_cart_quantity"
2023_07_05_135741_add_service_charge_col_to_orders_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: orders.additional_charge"
2023_07_05_145800_add_service_charge_col_to_order_transactions_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: order_transactions.additional_charge"
2023_07_05_155429_add_order_proof_col_to_orders_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: orders.order_proof"
2023_07_06_124530_add_partially_paid_amount_col_to_orders_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: orders.partially_paid_amount"
2023_07_06_144944_create_order_payments_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table order_payments"
2023_07_09_120533_add_meta_cols_to_stores_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: stores.meta_title, stores.meta_description, stores.meta_image"
2023_07_09_143746_create_wallet_payments_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table wallet_payments"
2023_07_10_121938_create_wallet_bonuses_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table wallet_bonuses"
2023_07_10_153950_add_user_id_col_to_expenses_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: expenses.user_id"
2023_07_19_124016_add_maximum_cart_quantity_col_to_item_campaigns_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: item_campaigns.maximum_cart_quantity"
2023_08_10_131937_create_offline_payment_methods_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table offline_payment_methods"
2023_08_10_132315_create_offline_payments_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table offline_payments"
2023_08_14_123526_create_temp_products_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table temp_products"
2023_08_14_153229_add_is_approved_col_to_items_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: items.is_approved"
2023_08_20_143852_add_created_by_col_to_banners_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: banners.title, banners.created_by"
2023_08_21_115610_add_announcement_cols_to_stores_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: stores.announcement, stores.announcement_message"
2023_08_21_173527_create_guests_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table guests"
2023_08_22_102914_add_is_guest_col_to_orders_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: orders.is_guest"
2023_08_24_123045_create_common_conditions_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table common_conditions"
2023_08_24_151032_create_pharmacy_item_details_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table pharmacy_item_details"
2023_08_26_164947_create_module_wise_banners_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table module_wise_banners"
2023_08_27_123438_create_module_wise_why_chooses_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table module_wise_why_chooses"
2023_08_28_114316_create_flash_sales_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table flash_sales"
2023_08_28_134428_create_flash_sale_items_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table flash_sale_items"
2023_09_07_131829_create_carts_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table carts"
2023_09_20_122921_create_store_configs_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table store_configs"
2023_09_23_184806_add_flash_sale_cols_to_orders_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: orders.flash_admin_discount_amount, orders.flash_store_discount_amount"
2023_10_08_103818_add_increased_delivery_fee_in_zones_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: zones.increased_delivery_fee, zones.increased_delivery_fee_status, zones.increase_delivery_charge_message, zones.offline_payment"
2023_11_21_123038_create_withdrawal_methods_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table withdrawal_methods"
2023_11_21_123229_create_disbursement_withdrawal_methods_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table disbursement_withdrawal_methods"
2023_11_21_123320_create_disbursements_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table disbursements"
2023_11_21_123742_add_cols_to_withdraw_requests_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: withdraw_requests.delivery_man_id, withdraw_requests.withdrawal_method_id, withdraw_requests.withdrawal_method_fields, withdraw_requests.vendor_id, withdraw_requests.type"
2023_11_21_124049_create_disbursement_details_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table disbursement_details"
2023_11_21_160728_add_created_by_col_to_account_transactions_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: account_transactions.type, account_transactions.created_by"
2023_11_23_093859_create_parcel_delivery_instructions_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table parcel_delivery_instructions"
2024_01_17_105010_create_order_references_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table order_references"
2024_04_01_124630_create_cash_backs_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table cash_backs"
2024_04_01_130213_add_is_halal_col_to_items_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: items.is_halal"
2024_04_01_130644_add_body_2_col_to_email_templates_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: email_templates.body_2"
2024_04_01_142631_add_is_prescription_required_col_to_pharmacy_item_details_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: pharmacy_item_details.is_prescription_required"
2024_04_02_112611_create_brands_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table brands"
2024_04_02_122002_create_ecommerce_item_details_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table ecommerce_item_details"
2024_04_02_133855_create_cash_back_histories_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table cash_back_histories"
2024_04_04_085842_add_interested_module_ids_col_to_users_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: users.module_ids"
2024_04_18_171021_add_halal_extra_packaging_cols_to_store_configs_table,RECORDED-NOT-EXECUTED,"RESOLVED: Ternary table name defeats static parse. store_configs.halal_tag_status, .extra_packaging_status, .extra_packaging_amount all verified present."
2024_04_18_171206_add_halal_brand_cols_to_temp_products_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: temp_products.is_halal, temp_products.brand_id, temp_products.is_prescription_required"
2024_04_18_171851_add_cashback_ref_amount_cols_to_temp_orders_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: orders.cash_back_id, orders.extra_packaging_amount, orders.ref_bonus_amount"
2024_04_18_172145_add_extrapackaging_ref_amount_cols_to_temp_order_transactions_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: order_transactions.extra_packaging_amount, order_transactions.ref_bonus_amount"
2024_05_13_102547_create_subscription_packages_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table subscription_packages"
2024_05_13_102612_create_store_subscriptions_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table store_subscriptions"
2024_05_13_104250_create_subscription_transactions_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table subscription_transactions"
2024_05_13_170120_add_store_business_model_col_to_stores_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: stores.store_business_model"
2024_05_14_175408_add_reply_col_to_reviews_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: reviews.store_id, reviews.reply, reviews.review_id"
2024_05_16_113516_create_storages_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table storages"
2024_05_22_115717_create_subscription_billing_and_refund_histories_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table subscription_billing_and_refund_histories"
2024_05_26_120621_add_subscription_model_to_order_transaction_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: order_transactions.commission_percentage, order_transactions.is_subscribed"
2024_05_28_110550_add_change_file_column_to_messages_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: messages.file"
2024_05_28_112559_add_change_order_attachment_column_to_orders_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: orders.order_attachment, orders.order_proof"
2024_07_07_111841_create_advertisements_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table advertisements"
2024_07_07_112117_create_notification_settings_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table notification_settings"
2024_07_07_112203_create_store_notification_settings_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table store_notification_settings"
2024_07_10_165721_create_priority_lists_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table priority_lists"
2024_07_14_182931_add_package_id_col_stores_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: stores.package_id"
2024_07_15_131402_add_replied_at_col_to_reviews_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: reviews.replied_at"
2024_07_28_131816_create_external_configurations_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table external_configurations"
2024_09_11_094735_add_display_name_col_in_zones_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: zones.display_name"
2024_09_11_105938_create_automated_messages_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table automated_messages"
2024_09_11_134421_add_ordre_id_col_to_messages_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: messages.order_id"
2024_09_12_115801_create_nutritions_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table nutritions"
2024_09_12_120019_create_allergies_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table allergies"
2024_09_12_121929_create_allergy_item_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table allergy_item"
2024_09_12_121941_create_item_nutrition_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table item_nutrition"
2024_09_12_142834_add_nutrition_allergy_id_cols_to_temp_products_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: temp_products.nutrition_ids, temp_products.allergy_ids, temp_products.generic_ids"
2024_09_15_112118_create_generic_names_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table generic_names"
2024_09_15_112537_create_item_generic_names_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table item_generic_names"
2024_10_21_153431_add_is_email_verified_col_to_users_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: users.is_email_verified, users.is_from_pos"
2024_10_21_153607_add_phone_col_to_password_resets_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: password_resets.phone, password_resets.email"
2024_10_22_103402_create_item_campaign_generic_names_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table item_campaign_generic_names"
2024_10_22_103440_create_allergy_item_campaign_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table allergy_item_campaign"
2024_10_22_103509_create_item_campaign_nutrition_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table item_campaign_nutrition"
2024_10_22_133944_add_minimum_stock_for_warning_col_to_store_confg,RECORDED-NOT-EXECUTED,"RESOLVED: Ternary table name. store_configs.minimum_stock_for_warning verified present."
2024_11_17_104649_create_cache_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table cache, table cache_locks"
2024_12_03_142529_add_to_col_stores_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: stores.pickup_zone_id, stores.comment"
2024_12_12_114152_add_module_type_col_to_subscription_package_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: subscription_packages.module_type"
2024_12_14_131104_add_module_type_to_notification_settings_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: notification_settings.module_type"
2024_12_24_112837_add_to_col_cash_backs_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: cash_backs.is_rental"
2024_12_31_170522_add_trip_id_col_to_expense_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: expenses.trip_id"
2025_01_01_122538_add_trip_id_to_cash_back_histories,RECORDED-NOT-EXECUTED,"every intended effect verified present: cash_back_histories.trip_id"
2025_01_05_140000_add_module_type_col_to_store_notification_settings_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: store_notification_settings.module_type"
2025_02_06_163705_add_temp_product_id_col_to__ecommerce_item_details,RECORDED-NOT-EXECUTED,"every intended effect verified present: ecommerce_item_details.temp_product_id"
2025_03_09_102816_add_module_id_col_to_brands_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: brands.module_id"
2025_03_12_101638_create_recent_searches_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table recent_searches"
2025_06_01_125609_create_addon_categories_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table addon_categories"
2025_06_01_130624_add_addon_category_id_col_to_add_ons_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: add_ons.addon_category_id"
2025_06_14_154744_add_discount_data_on_order_details_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: order_details.category_id, order_details.discount_on_product_by, order_details.tax_status, order_details.discount_percentage, order_details.addon_discount"
2025_06_25_174502_add_to_cols_stores_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: stores.tin, stores.tin_expire_date, stores.tin_certificate_image"
2025_07_05_070056_add_tax_type_col_to_order_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: orders.tax_type"
2025_07_13_160717_add_charge_type_col_to_module_zone_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: module_zone.delivery_charge_type, module_zone.fixed_shipping_charge"
2025_07_13_185456_create_surge_prices_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table surge_prices"
2025_07_13_192359_create_surge_price_dates_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table surge_price_dates"
2025_07_22_130717_add_login_remember_token_to_admins_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: admins.login_remember_token"
2025_07_22_130717_add_login_remember_token_to_vendor_employees_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: vendor_employees.login_remember_token"
2025_07_22_130717_add_login_remember_token_to_vendors_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: vendors.login_remember_token"
2025_07_24_123609_add_index_to_items_table,RECORDED-NOT-EXECUTED,"RESOLVED: Index-only migration. All 8 targets verified present: items_category_id_index, items_store_id_index, items_name_index, items_slug_index, items_price_index, items_created_at_index, items_order_count_index, items_avg_rating_index."
2025_07_24_131029_add_index_to_reviews_table,RECORDED-NOT-EXECUTED,"RESOLVED: Index-only. All 6 verified present: reviews_item_id_index, reviews_item_campaign_id_index, reviews_user_id_index, reviews_order_id_index, reviews_store_id_index, reviews_review_id_index."
2025_07_24_131340_add_index_to_wishlists_table,RECORDED-NOT-EXECUTED,"RESOLVED: Index-only. All 3 verified present: wishlists_user_id_index, wishlists_item_id_index, wishlists_store_id_index."
2025_07_27_152011_add_index_to_categories_table,RECORDED-NOT-EXECUTED,"RESOLVED: Index-only. Both verified present: categories_parent_id_index, categories_name_index."
2025_09_15_143154_create_parcel_cancellation_reasons_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table parcel_cancellation_reasons"
2025_09_16_173917_create_parcel_cancellations_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table parcel_cancellations"
2025_09_20_141407_add_bring_change_amount_col_to_orders_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: orders.bring_change_amount, orders.cancellation_note"
2025_09_20_155910_create_analytic_scripts_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table analytic_scripts"
