SURFACE,ROLE,SCREEN NAME,ROUTE OR MOBILE NAVIGATION PATH,SOURCE FILE,SOURCE LINE,CONTROLLER OR VIEWMODEL,PERMISSION,VISIBLE TITLE,CONTROL TYPE,CONTROL NAME,TABS,CARDS,TABLES,TABLE COLUMNS,BUTTONS,DROPDOWNS,FILTERS,SEARCH FIELDS,TEXT FIELDS,DATE PICKERS,CHECKBOXES,RADIO BUTTONS,TOGGLES,UPLOAD CONTROLS,CAMERA CONTROLS,SCANNER CONTROLS,MAP CONTROLS,PAGINATION,MODALS,MENUS,ACTION MENUS,STATUS BADGES,EMPTY STATES,ERROR STATES,VALIDATION,EXPECTED ACTION,CURRENT ACTION,API ENDPOINT,DATABASE EFFECT,NEXT ROLE VISIBILITY,NOTIFICATION,TEST COVERAGE,CURRENT STATUS,DEFECT,SEVERITY,FIX STATUS
ADMIN PORTAL,admin,admin-views/addon-activation/index.blade.php,not statically resolved,resources/views/admin-views/addon-activation/index.blade.php,105,requires route-level trace,not proven in view,{{…}},input:hidden,software_type,,,,,,,,,,,,,,,,,,,,,,,,,not declared on control,capture/filter/validate input,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/addon-activation/index.blade.php,not statically resolved,resources/views/admin-views/addon-activation/index.blade.php,106,requires route-level trace,not proven in view,{{…}},input:hidden,software_id,,,,,,,,,,,,,,,,,,,,,,,,,not declared on control,capture/filter/validate input,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/addon-activation/index.blade.php,not statically resolved,resources/views/admin-views/addon-activation/index.blade.php,107,requires route-level trace,not proven in view,{{…}},input:hidden,key,,,,,,,,,,,,,,,,,,,,,,,,,not declared on control,capture/filter/validate input,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/addon-activation/index.blade.php,not statically resolved,resources/views/admin-views/addon-activation/index.blade.php,124,requires route-level trace,not proven in view,{{…}},input:checkbox,addon_activation_delivery_man_app_status,,,,,,,,,,,addon_activation_delivery_man_app_status,,addon_activation_delivery_man_app_status,,,,,,addon_activation_delivery_man_app_status,,,addon_activation_delivery_man_app_status,,,not declared on control,capture/filter/validate input,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/addon-activation/index.blade.php,not statically resolved,resources/views/admin-views/addon-activation/index.blade.php,156,requires route-level trace,not proven in view,{{…}},input:text,{{…}}: {{…}},,,,,,,,,{{…}}: {{…}},,,,,,,,,,,,,,,,required,capture/filter/validate input,handler/action not proven from tag,,not proven by view source,not proven,not proven,source token found; behavioral strength unproven,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/addon-activation/index.blade.php,not statically resolved,resources/views/admin-views/addon-activation/index.blade.php,167,requires route-level trace,not proven in view,{{…}},input:text,{{…}}: {{…}},,,,,,,,,{{…}}: {{…}},,,,,,,,,,,,,,,,required,capture/filter/validate input,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/addon-activation/index.blade.php,not statically resolved,resources/views/admin-views/addon-activation/index.blade.php,175,requires route-level trace,not proven in view,{{…}},button,button@175,,,,,button@175,,,,,,,,,,,,,,,,,,,,not declared on control,perform named navigation/mutation and expose final state,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/addon-activation/index.blade.php,not statically resolved,resources/views/admin-views/addon-activation/index.blade.php,176,requires route-level trace,not proven in view,{{…}},button,button@176,,,,,button@176,,,,,,,,,,,,,,,,,,,,not declared on control,perform named navigation/mutation and expose final state,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/addon-activation/index.blade.php,route:admin.business-settings.addon-activation.activation,resources/views/admin-views/addon-activation/index.blade.php,183,requires route-level trace,not proven in view,{{…}},form,form@183,,,,,,,,,,,,,,,,,,,,,,,,,not declared on control,perform named navigation/mutation and expose final state,source references route:admin.business-settings.addon-activation.activation,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,route reference not resolved by static token search,P1/P2 requires route trace,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/addon-activation/index.blade.php,not statically resolved,resources/views/admin-views/addon-activation/index.blade.php,185,requires route-level trace,not proven in view,{{…}},input:hidden,addon_name,,,,,,,,,,,,,,,,,,,,,,,,,not declared on control,capture/filter/validate input,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/addon-activation/index.blade.php,not statically resolved,resources/views/admin-views/addon-activation/index.blade.php,186,requires route-level trace,not proven in view,{{…}},input:hidden,software_type,,,,,,,,,,,,,,,,,,,,,,,,,not declared on control,capture/filter/validate input,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/addon-activation/index.blade.php,not statically resolved,resources/views/admin-views/addon-activation/index.blade.php,187,requires route-level trace,not proven in view,{{…}},input:hidden,software_id,,,,,,,,,,,,,,,,,,,,,,,,,not declared on control,capture/filter/validate input,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
