feature,method,uri,middleware,controller,action,validation,tables,status
business-jobs,POST,/api/v1/urban-goodz/driver/business-jobs/{jobId}/exception,"api dm.api",UrbanGoodzDriverBusinessCourierController,reportException,"inline Validator::make","UrbanGoodzBusinessClientJob (model)",PRESENT
active-jobs,GET,/api/v1/urban-goodz/driver/active-jobs,"api dm.api",UrbanGoodzDriverActiveJobsController,index,NONE,"OrderAnywhereRequest (model)|UrbanGoodzBusinessClientJob (model)|UrbanGoodzDedicatedRoute (model)|UrbanGoodzLoadBoardLoad (model)",PRESENT
active-jobs,GET,/api/v1/urban-goodz/driver/active-jobs/{jobId},"api dm.api",UrbanGoodzDriverActiveJobsController,detail,NONE,"OrderAnywhereRequest (model)|UrbanGoodzBusinessClientJob (model)|UrbanGoodzDedicatedRoute (model)|UrbanGoodzLoadBoardLoad (model)",PRESENT
active-jobs,POST,/api/v1/urban-goodz/driver/active-jobs/{jobId}/start,"api dm.api",UrbanGoodzDriverActiveJobsController,startJob,NONE,,PRESENT
active-jobs,POST,/api/v1/urban-goodz/driver/active-jobs/{jobId}/complete,"api dm.api",UrbanGoodzDriverActiveJobsController,completeJob,NONE,"UrbanGoodzDriverEarning (model)",PRESENT
active-jobs,POST,/api/v1/urban-goodz/driver/active-jobs/{jobId}/cancel,"api dm.api",UrbanGoodzDriverActiveJobsController,cancelJob,NONE,,PRESENT
active-jobs,POST,/api/v1/urban-goodz/driver/active-jobs/{jobId}/status,"api dm.api",UrbanGoodzDriverActiveJobsController,updateStatus,"inline Validator::make",,PRESENT
job-discovery,GET,/api/v1/urban-goodz/driver/job-discovery,"api dm.api",UrbanGoodzDriverJobDiscoveryController,index,NONE,,PRESENT
job-discovery,GET,/api/v1/urban-goodz/driver/job-discovery/summary,"api dm.api",UrbanGoodzDriverJobDiscoveryController,summary,NONE,"OrderAnywhereRequest (model)",PRESENT
job-discovery,GET,/api/v1/urban-goodz/driver/job-discovery/{type}/{id},"api dm.api",UrbanGoodzDriverJobDiscoveryController,detail,"inline Validator::make","UrbanGoodzBusinessClientJob (model)|UrbanGoodzRoutePackage (model)|UrbanGoodzDedicatedRoute (model)",PRESENT
job-discovery,GET,/api/v1/urban-goodz/driver/opportunities,"api dm.api",UrbanGoodzDriverActiveJobsController,opportunities,NONE,"UrbanGoodzEarnMoneyOpportunity (model)",PRESENT
job-discovery,POST,/api/v1/urban-goodz/driver/opportunities/{opportunityId}/claim,"api dm.api",UrbanGoodzDriverActiveJobsController,claimOpportunity,NONE,"UrbanGoodzEarnMoneyOpportunity (model)|UrbanGoodzEarnMoneyApplication (model)",PRESENT
load-board,GET,/api/v1/urban-goodz/driver/load-board,"api dm.api",UrbanGoodzDriverActiveJobsController,loadBoardAvailable,NONE,"UrbanGoodzLoadBoardLoad (model)",PRESENT
load-board,GET,/api/v1/urban-goodz/driver/load-board/{loadId},"api dm.api",UrbanGoodzDriverApiController,loadBoardDetail,NONE,"UrbanGoodzLoadBoardLoad (model)|UrbanGoodzLoadBoardBid (model)",PRESENT
load-board,POST,/api/v1/urban-goodz/driver/load-board/{loadId}/bid,"api dm.api",UrbanGoodzDriverActiveJobsController,loadBoardBid,"inline Validator::make","UrbanGoodzLoadBoardLoad (model)",PRESENT
load-board,POST,/api/v1/urban-goodz/driver/load-board/{loadId}/accept,"api dm.api",UrbanGoodzDriverActiveJobsController,acceptJob,NONE,"UrbanGoodzLoadBoardLoad (model)",PRESENT
routes-planning,GET,/api/v1/urban-goodz/driver/routes,"api dm.api",UrbanGoodzDriverApiController,assignedRoutes,NONE,"UrbanGoodzDedicatedRoute (model)",PRESENT
routes-planning,GET,/api/v1/urban-goodz/driver/routes/{routeId},"api dm.api",UrbanGoodzDriverApiController,routeDetail,NONE,"UrbanGoodzDedicatedRoute (model)",PRESENT
routes-planning,POST,/api/v1/urban-goodz/driver/routes/{routeId}/sequence,"api dm.api",UrbanGoodzDriverApiController,resequenceRoute,"inline Validator::make","UrbanGoodzDedicatedRoute (model)|UrbanGoodzRouteExecutionVersion (model)|UrbanGoodzRouteOptimizationStop (model)|UrbanGoodzRoutePackage (model)|UrbanGoodzBatchPackage (model)",PRESENT
routes-planning,POST,/api/v1/urban-goodz/driver/routes/{routeId}/started,"api dm.api",UrbanGoodzDriverApiController,routeStarted,NONE,"UrbanGoodzDedicatedRoute (model)|UrbanGoodzRouteAssignment (model)",PRESENT
routes-planning,POST,/api/v1/urban-goodz/driver/routes/{routeId}/completed,"api dm.api",UrbanGoodzDriverApiController,routeCompleted,NONE,"UrbanGoodzDedicatedRoute (model)|UrbanGoodzRoutePackage (model)|UrbanGoodzRouteAssignment (model)|UrbanGoodzDriverEarning (model)|UrbanGoodzRouteBatch (model)",PRESENT
routes-planning,POST,/api/v1/urban-goodz/driver/routes/{routeId}/scan-pickup,"api dm.api",UrbanGoodzDriverApiController,scanPickup,"inline Validator::make","UrbanGoodzRoutePackage (model)|UrbanGoodzPackageScan (model)|UrbanGoodzMedicalCustodyLog (model)",PRESENT
routes-planning,POST,/api/v1/urban-goodz/driver/routes/{routeId}/scan-dropoff,"api dm.api",UrbanGoodzDriverApiController,scanDropoff,"inline Validator::make","UrbanGoodzRoutePackage (model)|UrbanGoodzPackageScan (model)|UrbanGoodzMedicalCustodyLog (model)|UrbanGoodzDedicatedRoute (model)|UrbanGoodzDriverEarning (model)",PRESENT
routes-planning,POST,/api/v1/urban-goodz/driver/routes/{routeId}/scan-exception,"api dm.api",UrbanGoodzDriverApiController,scanException,"inline Validator::make","UrbanGoodzRoutePackage (model)|UrbanGoodzPackageScan (model)|UrbanGoodzDedicatedRoute (model)|UrbanGoodzDriverEarning (model)",PRESENT
routes-planning,POST,/api/v1/urban-goodz/driver/routes/{routeId}/age-verify,"api dm.api",UrbanGoodzDriverApiController,submitAgeVerification,"inline Validator::make","UrbanGoodzRoutePackage (model)|UrbanGoodzAgeVerification (model)",PRESENT
routes-planning,POST,/api/v1/urban-goodz/driver/routes/{routeId}/age-refuse,"api dm.api",UrbanGoodzDriverApiController,submitAgeRefusal,"inline Validator::make","UrbanGoodzRoutePackage (model)|UrbanGoodzAgeVerification (model)",PRESENT
routes-planning,GET,/api/v1/urban-goodz/driver/routes/{routeId}/age-status,"api dm.api",UrbanGoodzDriverApiController,checkAgeStatus,"inline Validator::make","UrbanGoodzRoutePackage (model)",PRESENT
certifications,GET,/api/v1/urban-goodz/driver/certifications,"api dm.api",UrbanGoodzDriverActiveJobsController,certifications,NONE,"DriverCertification (model)",PRESENT
certifications,POST,/api/v1/urban-goodz/driver/certifications/{certId}/upload,"api dm.api",UrbanGoodzDriverActiveJobsController,uploadCertDocument,"inline Validator::make","DriverCertification (model)",PRESENT
certifications,POST,/api/v1/urban-goodz/driver/certifications/{certId}/renew,"api dm.api",UrbanGoodzDriverActiveJobsController,renewCertification,NONE,"DriverCertification (model)",PRESENT
capability-profile,GET,/api/v1/urban-goodz/driver/capability-profile,"api dm.api",UrbanGoodzDriverCapabilityController,profile,NONE,,PRESENT
capability-profile,GET,/api/v1/urban-goodz/driver/capability-summary,"api dm.api",UrbanGoodzDriverCapabilityController,summary,NONE,,PRESENT
capability-profile,POST,/api/v1/urban-goodz/driver/capability-profile/vehicle,"api dm.api",UrbanGoodzDriverCapabilityController,updateVehicle,"inline Validator::make",,PRESENT
capability-profile,POST,/api/v1/urban-goodz/driver/capability-profile/trailer,"api dm.api",UrbanGoodzDriverCapabilityController,updateTrailer,"inline Validator::make",,PRESENT
capability-profile,POST,/api/v1/urban-goodz/driver/capability-profile/commercial,"api dm.api",UrbanGoodzDriverCapabilityController,updateCommercial,"inline Validator::make",,PRESENT
capability-profile,POST,/api/v1/urban-goodz/driver/capability-profile/cargo,"api dm.api",UrbanGoodzDriverCapabilityController,updateCargo,"inline Validator::make",,PRESENT
capability-profile,POST,/api/v1/urban-goodz/driver/capability-profile/zones,"api dm.api",UrbanGoodzDriverCapabilityController,updateZones,"inline Validator::make",,PRESENT
capability-profile,POST,/api/v1/urban-goodz/driver/capability-profile/work-types,"api dm.api",UrbanGoodzDriverCapabilityController,updateWorkTypes,"inline Validator::make",,PRESENT
capability-profile,POST,/api/v1/urban-goodz/driver/capability-profile/tags,"api dm.api",UrbanGoodzDriverCapabilityController,updateTags,"inline Validator::make",,PRESENT
capability-profile,POST,/api/v1/urban-goodz/driver/capability-profile/availability,"api dm.api",UrbanGoodzDriverCapabilityController,updateAvailability,"inline Validator::make",,PRESENT
vehicles,GET,/api/v1/urban-goodz/driver/vehicles,"api dm.api",UrbanGoodzDriverActiveJobsController,vehicles,NONE,"DeliveryManVehicle (model)",PRESENT
