TABLE,PROVEN CREATE MIGRATION,ALTER MIGRATIONS,MODELS,CONTROLLERS/SERVICES/OTHER USAGE,FOREIGN KEY REFERENCES,STATUS,EVIDENCE
ai_workforce_actions,database/migrations/2026_07_19_160200_create_ai_workforce_actions_table.php,,,,database/migrations/2026_07_19_160300_create_ai_approvals_table.php; database/migrations/2026_07_19_160600_create_ai_audit_events_table.php,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
allergies,database/migrations/2024_09_12_120019_create_allergies_table.php,,,,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
allergy_item,database/migrations/2024_09_12_121929_create_allergy_item_table.php,,,,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
allergy_item_campaign,database/migrations/2024_10_22_103440_create_allergy_item_campaign_table.php,,,,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
analytic_scripts,database/migrations/2025_09_20_155910_create_analytic_scripts_table.php,,,,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
automated_messages,database/migrations/2024_09_11_105938_create_automated_messages_table.php,database/migrations/2026_02_04_164604_add_question_column_in_automated_messages_table.php,,,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
banners,,database/migrations/2022_10_19_165501_add_default_link_column_to_banners_table.php; database/migrations/2023_08_20_143852_add_created_by_col_to_banners_table.php,,,,BLOCKED: ALTERED WITHOUT PROVEN CREATE MIGRATION,No Schema::create located; authoritative schema export required
brands,database/migrations/2024_04_02_112611_create_brands_table.php,database/migrations/2025_03_09_102816_add_module_id_col_to_brands_table.php,,,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
business_needs,database/migrations/2026_07_19_160800_create_business_needs_table.php,,,,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
business_settings,,,,app/Http/Controllers/InstallController.php,,REFERENCED WITHOUT PROVEN CREATE MIGRATION,No Schema::create located; authoritative schema export required
cache,database/migrations/2024_11_17_104649_create_cache_table.php,,,app/CentralLogics/Helpers.php; app/Observers/BannerObserver.php; app/Observers/BusinessSettingObserver.php; app/Observers/DataSettingObserver.php; app/Observers/ModuleObserver.php,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
cache_locks,database/migrations/2024_11_17_104649_create_cache_table.php,,,,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
campaign_store,,database/migrations/2023_02_26_144503_add_campaign_status_to_campaign_store_table.php; database/migrations/2026_03_25_171011_add_timestamps_to_campaign_store_table.php,,,,BLOCKED: ALTERED WITHOUT PROVEN CREATE MIGRATION,No Schema::create located; authoritative schema export required
campaigns,,database/migrations/2026_01_21_112637_add_slug_column_to_campaigns_table.php,,,,BLOCKED: ALTERED WITHOUT PROVEN CREATE MIGRATION,No Schema::create located; authoritative schema export required
carts,database/migrations/2023_09_07_131829_create_carts_table.php,,,,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
cash_back_histories,database/migrations/2024_04_02_133855_create_cash_back_histories_table.php,database/migrations/2025_01_01_122538_add_trip_id_to_cash_back_histories.php,,app/CentralLogics/Helpers.php; app/Http/Controllers/Api/V1/CashBackController.php,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
cash_backs,database/migrations/2024_04_01_124630_create_cash_backs_table.php,database/migrations/2024_12_24_112837_add_to_col_cash_backs_table.php,,,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
categories,,database/migrations/2023_01_23_144001_add_slug_to_categories_table.php; database/migrations/2023_05_18_093438_add_featured_col_to_categories_table.php; database/migrations/2025_07_27_152011_add_index_to_categories_table.php,,app/CentralLogics/CategoryLogic.php; app/CentralLogics/StoreLogic.php; app/Console/Commands/ImportUrbanGoodzCleanedBusinesses.php; app/Console/Commands/UrbanGoodzSourcedBusinessCategoryBackfill.php; app/Console/Commands/UrbanGoodzSourcedBusinessFasttrackApprove.php; app/Console/Commands/UrbanGoodzSourcedBusinessProvision.php; app/Console/Commands/UrbanGoodzTaxonomyRepair.php; app/Http/Controllers/Api/V1/ItemController.php; app/Http/Controllers/Api/V1/StoreController.php; app/Repositories/CategoryRepository.php; app/Services/UrbanGoodzIngestionService.php; app/Services/UrbanGoodz/AIMarketplaceSearchService.php,,BLOCKED: ALTERED WITHOUT PROVEN CREATE MIGRATION,No Schema::create located; authoritative schema export required
common_conditions,database/migrations/2023_08_24_123045_create_common_conditions_table.php,,,,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
contacts,database/migrations/2022_11_13_130054_create_contacts_table.php,,,,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
conversations,database/migrations/2022_09_10_112203_create_conversations_table.php,,,,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
coupons,,database/migrations/2023_02_27_161418_add_created_by_columns_to_coupons_table.php,,,,BLOCKED: ALTERED WITHOUT PROVEN CREATE MIGRATION,No Schema::create located; authoritative schema export required
creator_commerce_attributions,database/migrations/2026_07_12_120000_complete_creator_reel_commerce.php,,,,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
creator_reel_reports,database/migrations/2026_07_12_120000_complete_creator_reel_commerce.php,,,,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
creator_reel_tags,database/migrations/2026_07_12_120000_complete_creator_reel_commerce.php,,,,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
customer_addresses,database/migrations/2022_05_10_000000_create_customer_addresses_table.php,,,app/Http/Controllers/Api/V1/CustomerController.php; app/Http/Controllers/Vendor/OrderController.php,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
d_m_reviews,,,,app/Models/DeliveryMan.php,,REFERENCED WITHOUT PROVEN CREATE MIGRATION,No Schema::create located; authoritative schema export required
d_m_vehicles,database/migrations/2023_02_25_133200_create_d_m_vehicles_table.php,database/migrations/2026_02_04_152345_add_ride_related_columns_in_d_m_vehicles_table.php,,app/Console/Commands/UrbanGoodzEcosystemTest.php,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
data_settings,database/migrations/2023_05_04_100012_create_data_settings_table.php,,,,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
delivery_histories,,,,app/Http/Controllers/UpdateController.php,,REFERENCED WITHOUT PROVEN CREATE MIGRATION,No Schema::create located; authoritative schema export required
delivery_man_vehicles,database/migrations/2026_07_13_000001_create_delivery_man_vehicles_table.php,,,,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
delivery_men,,database/migrations/2023_02_25_133302_add_vehicle_id_column_to_delivery_men_table.php; database/migrations/2025_11_27_132943_update_identity_image_column_in_delivery_men_table.php; database/migrations/2026_06_04_162817_add_join_as_col_to_delivery_men_table.php; database/migrations/2026_07_09_001200_add_capability_fields_to_delivery_men_table.php; database/migrations/2026_07_10_000001_add_trailer_cdl_commercial_fields_to_delivery_men_table.php; database/migrations/2026_07_11_000001_add_vehicle_identity_fields_to_delivery_men_table.php; database/migrations/2026_07_19_150000_add_private_endpoint_to_delivery_men.php,,app/Console/Commands/UrbanGoodzEcosystemTest.php; app/Http/Controllers/Api/V1/Auth/DMPasswordResetController.php,database/migrations/2026_07_06_180000_create_urban_goodz_backend_modules_tables.php; database/migrations/2026_07_09_000400_create_urban_goodz_age_verifications_table.php; database/migrations/2026_07_13_000001_add_logistics_e2e_columns_and_tables.php; database/migrations/2026_07_13_000001_create_delivery_man_vehicles_table.php; database/migrations/2026_07_13_000002_create_driver_certifications_table.php; database/migrations/2026_07_13_000004_add_delivery_man_id_and_applied_at_to_earn_money_applications_table.php; database/migrations/2026_07_13_100000_create_load_sourcing_system_tables.php; database/migrations/2026_07_19_150100_create_urban_goodz_route_execution_versions_table.php,BLOCKED: ALTERED WITHOUT PROVEN CREATE MIGRATION,No Schema::create located; authoritative schema export required
deliveryman_loyalty_point_histories,database/migrations/2025_11_27_141050_create_deliveryman_loyalty_point_histories_table.php,,,,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
deliveryman_referral_histories,database/migrations/2025_11_30_093640_create_deliveryman_referral_histories_table.php,,,,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
disbursement_details,database/migrations/2023_11_21_124049_create_disbursement_details_table.php,,,,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
disbursement_withdrawal_methods,database/migrations/2023_11_21_123229_create_disbursement_withdrawal_methods_table.php,,,app/Http/Controllers/Api/V1/Vendor/WithdrawMethodController.php; app/Http/Controllers/Vendor/WalletMethodController.php,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
disbursements,database/migrations/2023_11_21_123320_create_disbursements_table.php,,,,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
discounts,,,,app/CentralLogics/StoreLogic.php,,REFERENCED WITHOUT PROVEN CREATE MIGRATION,No Schema::create located; authoritative schema export required
dispatcher_saved_searches,database/migrations/2026_07_13_100000_create_load_sourcing_system_tables.php,,app/Models/DispatcherSavedSearch.php,,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
driver_certifications,database/migrations/2026_07_13_000002_create_driver_certifications_table.php,,,,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
driver_exception_reports,,,,app/Http/Controllers/Admin/UrbanGoodz/BusinessAiLogisticsController.php,,REFERENCED WITHOUT PROVEN CREATE MIGRATION,No Schema::create located; authoritative schema export required
driver_load_preferences,database/migrations/2026_07_13_100000_create_load_sourcing_system_tables.php,,app/Models/DriverLoadPreference.php,,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
ecommerce_item_details,database/migrations/2024_04_02_122002_create_ecommerce_item_details_table.php,database/migrations/2025_02_06_163705_add_temp_product_id_col_to__ecommerce_item_details.php,,app/Http/Controllers/Admin/ItemController.php; app/Http/Controllers/Api/V1/Vendor/ItemController.php; app/Http/Controllers/Vendor/ItemController.php,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
email_templates,database/migrations/2023_05_09_170006_create_email_templates_table.php,database/migrations/2024_04_01_130644_add_body_2_col_to_email_templates_table.php,,,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
email_verifications,,database/migrations/2026_07_10_000003_add_brute_force_cols_to_email_verifications_table.php,,app/Http/Controllers/Api/V1/Auth/CustomerAuthController.php; app/Http/Controllers/Api/V1/CustomerController.php,,BLOCKED: ALTERED WITHOUT PROVEN CREATE MIGRATION,No Schema::create located; authoritative schema export required
expenses,database/migrations/2022_11_15_111925_create_expenses_table.php,database/migrations/2022_12_29_103803_add_order_id_column_to_expenses_table.php; database/migrations/2023_01_07_180000_add_description_to_expenses_table.php; database/migrations/2023_02_27_161533_add_created_by_columns_to_expenses_table.php; database/migrations/2023_03_02_143919_change_amount_column_to_expenses_table.php; database/migrations/2023_07_10_153950_add_user_id_col_to_expenses_table.php; database/migrations/2024_12_31_170522_add_trip_id_col_to_expense_table.php; database/migrations/2026_04_16_140158_add_ride_id_col_to_expenses_table.php,,,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
external_configurations,database/migrations/2024_07_28_131816_create_external_configurations_table.php,,,app/Http/Controllers/Admin/ExternalConfigurationController.php; app/Http/Controllers/Api/V1/ExternalConfigurationController.php,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
external_loads,database/migrations/2026_07_13_100000_create_load_sourcing_system_tables.php,,app/Models/ExternalLoad.php,app/Http/Controllers/Admin/UrbanGoodz/BusinessAiLogisticsController.php,database/migrations/2026_07_13_100000_create_load_sourcing_system_tables.php,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
f_a_q_s,database/migrations/2025_10_23_160409_create_f_a_q_s_table.php,,,,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
fashion_fit_access_grants,database/migrations/2026_07_12_100000_create_fashion_fit_ai_workflow_tables.php,,,,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
fashion_fit_analyses,database/migrations/2026_07_12_100000_create_fashion_fit_ai_workflow_tables.php,,,,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
fashion_fit_audit_events,database/migrations/2026_07_12_100000_create_fashion_fit_ai_workflow_tables.php,,,,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
fashion_fit_consents,database/migrations/2026_07_12_100000_create_fashion_fit_ai_workflow_tables.php,,,,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
fashion_fit_estimates,database/migrations/2026_07_12_100000_create_fashion_fit_ai_workflow_tables.php,,,,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
fashion_fit_measurements,database/migrations/2026_07_12_100000_create_fashion_fit_ai_workflow_tables.php,,,,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
fashion_fit_photos,database/migrations/2026_07_12_100000_create_fashion_fit_ai_workflow_tables.php,,,,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
fashion_fit_profiles,database/migrations/2026_07_12_100000_create_fashion_fit_ai_workflow_tables.php,,,,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
fashion_fit_provider_profiles,database/migrations/2026_07_12_100000_create_fashion_fit_ai_workflow_tables.php,,,,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
fashion_fit_requests,database/migrations/2026_07_12_100000_create_fashion_fit_ai_workflow_tables.php,,,,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
flash_sale_items,database/migrations/2023_08_28_134428_create_flash_sale_items_table.php,,,,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
flash_sales,database/migrations/2023_08_28_114316_create_flash_sales_table.php,,,,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
flutter_special_criterias,database/migrations/2023_05_07_173609_create_flutter_special_criterias_table.php,,,,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
generic_names,database/migrations/2024_09_15_112118_create_generic_names_table.php,,,,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
guests,database/migrations/2023_08_21_173527_create_guests_table.php,,,,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
human_action_items,database/migrations/2026_07_19_160700_create_human_action_items_table.php,,,,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
item_campaign_generic_names,database/migrations/2024_10_22_103402_create_item_campaign_generic_names_table.php,,app/Models/ItemCampaignGenericName.php,,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
item_campaign_nutrition,database/migrations/2024_10_22_103509_create_item_campaign_nutrition_table.php,,,,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
item_campaigns,,database/migrations/2023_01_10_124723_add_food_variations_column_to_item_campaigns_table.php; database/migrations/2023_01_23_144119_add_slug_to_item_campaigns_table.php; database/migrations/2023_07_19_124016_add_maximum_cart_quantity_col_to_item_campaigns_table.php,,,,BLOCKED: ALTERED WITHOUT PROVEN CREATE MIGRATION,No Schema::create located; authoritative schema export required
item_generic_names,database/migrations/2024_09_15_112537_create_item_generic_names_table.php,,app/Models/ItemGenericName.php,,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
item_nutrition,database/migrations/2024_09_12_121941_create_item_nutrition_table.php,,,,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
item_seo_data,database/migrations/2026_01_08_150355_create_item_seo_data_table.php,,,app/Http/Controllers/Admin/ItemController.php,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
item_tag,database/migrations/2023_01_02_113235_item_tag.php,,,,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
items,,database/migrations/2022_12_20_104455_add_food_variations_column_to_items_table.php; database/migrations/2023_01_23_103943_add_slug_to_items_table.php; database/migrations/2023_02_26_162224_add_recommened_to_items_table.php; database/migrations/2023_05_18_163841_add_organic_col_to_items_table.php; database/migrations/2023_07_05_104537_add_maximum_cart_quantity_col_to_items_table.php; database/migrations/2023_08_14_153229_add_is_approved_col_to_items_table.php; database/migrations/2024_04_01_130213_add_is_halal_col_to_items_table.php; database/migrations/2025_07_24_123609_add_index_to_items_table.php; database/migrations/2026_04_13_000001_add_product_video_columns_to_items_and_temp_products_tables.php; database/migrations/2026_07_09_000300_add_age_restricted_compliance_fields.php,,app/CentralLogics/CategoryLogic.php; app/CentralLogics/Helpers.php; app/CentralLogics/StoreLogic.php; app/Http/Controllers/Admin/ItemController.php; app/Http/Controllers/Admin/VendorController.php; app/Http/Controllers/Api/V1/ItemController.php; app/Http/Controllers/Api/V1/StoreController.php; app/Http/Controllers/Vendor/ItemController.php; app/Services/UrbanGoodz/AIMarketplaceSearchService.php; app/Traits/PlaceNewOrder.php,,BLOCKED: ALTERED WITHOUT PROVEN CREATE MIGRATION,No Schema::create located; authoritative schema export required
jobs,database/migrations/2022_04_12_215009_create_jobs_table.php,,,,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
load_duplicates,database/migrations/2026_07_13_100000_create_load_sourcing_system_tables.php,,app/Models/LoadDuplicate.php,,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
load_email_ingestions,database/migrations/2026_07_13_100000_create_load_sourcing_system_tables.php,,app/Models/LoadEmailIngestion.php,,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
load_imports,database/migrations/2026_07_13_100000_create_load_sourcing_system_tables.php,,app/Models/LoadImport.php,,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
load_partner_referrals,database/migrations/2026_07_13_100000_create_load_sourcing_system_tables.php,,app/Models/LoadPartnerReferral.php,,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
load_recommendations,database/migrations/2026_07_13_100000_create_load_sourcing_system_tables.php,,app/Models/LoadRecommendation.php,,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
load_source_credentials,database/migrations/2026_07_13_100000_create_load_sourcing_system_tables.php,,app/Models/LoadSourceCredential.php,,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
load_source_errors,database/migrations/2026_07_13_100000_create_load_sourcing_system_tables.php,,app/Models/LoadSourceError.php,,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
load_source_search_results,database/migrations/2026_07_13_100000_create_load_sourcing_system_tables.php,,app/Models/LoadSourceSearchResult.php,,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
load_source_searches,database/migrations/2026_07_13_100000_create_load_sourcing_system_tables.php,,app/Models/LoadSourceSearch.php,,database/migrations/2026_07_13_100000_create_load_sourcing_system_tables.php,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
load_source_sync_runs,database/migrations/2026_07_13_100000_create_load_sourcing_system_tables.php,,app/Models/LoadSourceSyncRun.php,,database/migrations/2026_07_13_100000_create_load_sourcing_system_tables.php,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
load_sources,database/migrations/2026_07_13_100000_create_load_sourcing_system_tables.php,database/migrations/2026_07_13_100000_create_load_sourcing_system_tables.php,app/Models/LoadSource.php,,database/migrations/2026_07_13_100000_create_load_sourcing_system_tables.php,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
load_sourcing_settings,database/migrations/2026_07_13_100000_create_load_sourcing_system_tables.php,,app/Models/LoadSourcingSetting.php,,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
load_sourcing_sources,,,,app/Http/Controllers/Admin/UrbanGoodz/BusinessAiLogisticsController.php,,REFERENCED WITHOUT PROVEN CREATE MIGRATION,No Schema::create located; authoritative schema export required
loyalty_point_transactions,database/migrations/2022_03_31_103827_create_loyalty_point_transactions_table.php,,,,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
merchant_prospect_order_anywhere,database/migrations/2026_07_19_160400_create_merchant_prospects_table.php,,,app/Services/UrbanGoodz/AiMerchantAcquisitionService.php,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
merchant_prospects,database/migrations/2026_07_19_160400_create_merchant_prospects_table.php,,,,database/migrations/2026_07_19_160400_create_merchant_prospects_table.php; database/migrations/2026_07_19_160500_create_ai_outreach_tables.php,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
messages,database/migrations/2022_09_10_112220_create_messages_table.php,database/migrations/2024_05_28_110550_add_change_file_column_to_messages_table.php; database/migrations/2024_09_11_134421_add_ordre_id_col_to_messages_table.php,,,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
module_wise_banners,database/migrations/2023_08_26_164947_create_module_wise_banners_table.php,,,,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
module_wise_why_chooses,database/migrations/2023_08_27_123438_create_module_wise_why_chooses_table.php,,,,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
module_zone,database/migrations/2022_10_20_105050_module_zone.php,database/migrations/2022_12_29_105321_add_maximum_cod_order_amount_column_to_module_zone_table.php; database/migrations/2023_02_25_163329_add_maximum_delivery_charge_column_to_module_zone_table.php; database/migrations/2025_07_13_160717_add_charge_type_col_to_module_zone_table.php,,,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
modules,database/migrations/2014_10_12_000001_create_modules_table.php,database/migrations/2022_05_14_155444_add_all_zones_column_to_modules_table.php; database/migrations/2026_01_21_103359_add_slug_to_modules_table.php,,app/CentralLogics/Helpers.php; app/Console/Commands/UrbanGoodzSourcedBusinessFasttrackApprove.php; app/Console/Commands/UrbanGoodzSourcedBusinessProvision.php; app/Console/Commands/UrbanGoodzTaxonomyRepair.php; app/Http/Controllers/Admin/UrbanGoodz/UrbanGoodzSourcedBusinessReviewController.php; app/Services/UrbanGoodzIngestionService.php,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
newsletters,database/migrations/2022_04_10_030533_create_newsletters_table.php,,,,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
notification_messages,database/migrations/2022_12_31_111437_create_notification_messages_table.php,,,,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
notification_settings,database/migrations/2024_07_07_112117_create_notification_settings_table.php,database/migrations/2024_12_14_131104_add_module_type_to_notification_settings_table.php,,,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
nutritions,database/migrations/2024_09_12_115801_create_nutritions_table.php,,app/Models/Nutrition.php,,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
oauth_access_tokens,database/migrations/2016_06_01_000002_create_oauth_access_tokens_table.php,,,,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
oauth_auth_codes,database/migrations/2016_06_01_000001_create_oauth_auth_codes_table.php,,,,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
oauth_clients,database/migrations/2016_06_01_000004_create_oauth_clients_table.php,,,,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
